# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2024-01-19 15:21:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.850000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_3.json
# init = 2 (Default)
# random
#   seed = 695854889 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-7.9828,6.36326e-11,3.17597,1,1,0,8.73346,0.228139
-7.79808,0.997047,0.430643,1,3,0,8.13976,0.259794
-8.46264,0.809335,0.628834,2,7,0,12.4563,0.517213
-8.74999,0.992503,0.588617,2,3,0,8.75112,0.547179
-7.6385,0.907077,0.844277,3,7,0,10.0484,0.336838
-8.10863,0.885928,0.989256,1,3,0,8.39888,0.212242
-7.97556,1,1.1018,2,3,0,8.12259,0.229156
-7.63881,0.985715,1.58965,1,3,0,7.81419,0.328463
-7.63881,0.00952495,2.20999,1,1,0,8.65511,0.328463
-7.78771,0.997432,0.339007,4,15,0,7.89499,0.262096
-8.03758,0.98428,0.486348,1,3,0,8.25393,0.22084
-8.03193,1,0.674545,1,1,0,8.06608,0.221563
-7.63949,0.986932,0.964777,1,3,0,8.1592,0.326368
-7.63927,1,1.33495,1,1,0,7.63978,0.326967
-7.63927,0.950117,1.89331,1,1,0,7.66838,0.326967
-7.63866,1,2.39921,1,1,0,7.63866,0.337597
-7.99608,0.407673,3.37707,1,1,0,8.58356,0.453376
-7.67962,0.941789,1.32506,2,3,0,8.25564,0.29498
-8.02488,0.846801,1.64575,1,1,0,8.04248,0.222474
-7.63828,0.683641,1.66609,2,3,0,8.51111,0.331327
-7.64373,0.983909,1.19429,2,3,0,7.72086,0.347781
-7.64373,0.744716,1.61541,2,3,0,8.00827,0.347781
-7.63827,0.996896,1.32046,2,3,0,7.65428,0.33527
-7.90262,0.845232,1.82776,1,1,0,7.90786,0.240219
-7.63968,1,1.84193,1,1,0,7.74663,0.325881
-7.71631,0.908075,2.55233,1,1,0,7.75885,0.281143
-8.82024,0.374547,2.91968,2,3,0,9.82875,0.55385
-8.13597,1,1.12448,1,1,0,8.67252,0.475491
-8.0279,1,1.55395,1,1,0,8.29055,0.458735
-8.0279,0.000464214,2.14031,2,3,0,12.1108,0.458735
-8.0368,0.99652,0.395167,2,3,0,8.18437,0.460196
-7.86187,0.992767,0.542357,2,3,0,8.22529,0.427656
-7.73564,0.998328,0.736485,2,3,0,7.89679,0.394984
-8.85184,0.633228,1.00808,1,3,0,10.3159,0.152157
-7.7887,0.968367,0.670418,1,3,0,9.78395,0.261873
-9.34433,0.763489,0.862987,3,7,0,11.4951,0.126843
-9.93299,0.969292,0.743165,1,1,0,9.93316,0.103966
-10.8973,0.934056,0.955466,1,1,0,10.9149,0.0769897
-11.8823,0.927396,1.14482,1,1,0,12.039,0.0577509
-11.843,1,1.3519,1,1,0,12.6228,0.0584033
-10.658,1,1.8316,1,1,0,12.449,0.0827685
