# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2023-07-11 13:09:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_2.json
# init = 2 (Default)
# random
#   seed = 1279001897 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0-42-g5ae292a9
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.849297
# Diagonal elements of inverse mass matrix:
# 0.538535
-7.83311,0.958844,0.849297,1,1,0,7.8332,0.421232
-7.75687,1,0.849297,1,1,0,7.83123,0.401516
-7.75687,0.588264,0.849297,1,3,0,9.47957,0.401516
-7.80874,0.922253,0.849297,2,3,0,8.23609,0.415417
-8.70418,0.830768,0.849297,1,3,0,8.70497,0.542706
-7.70407,1,0.849297,1,3,0,8.45197,0.383827
-11.6429,0.387739,0.849297,1,3,0,12.0087,0.726212
-7.6479,1,0.849297,1,3,0,11.0604,0.352491
-7.64606,0.997928,0.849297,1,3,0,7.66547,0.31639
-7.79826,0.967517,0.849297,1,3,0,7.81254,0.259755
-8.39301,0.829364,0.849297,1,3,0,8.97788,0.509153
-8.39301,0.68912,0.849297,1,1,0,9.37613,0.509153
-7.80789,1,0.849297,2,3,0,8.22597,0.415206
-8.40714,0.8417,0.849297,1,1,0,8.40814,0.510819
-7.69393,1,0.849297,1,3,0,8.22471,0.379706
-8.10814,0.850206,0.849297,2,3,0,8.63664,0.471363
-7.72446,1,0.849297,1,3,0,7.99961,0.391266
-8.0741,0.868056,0.849297,1,3,0,8.49606,0.216311
-8.41395,0.938138,0.849297,1,1,0,8.43922,0.182673
-9.03602,0.904644,0.849297,1,1,0,9.06291,0.141836
-8.73446,1,0.849297,1,1,0,9.11372,0.159401
-7.6385,1,0.849297,2,3,0,8.58215,0.329822
-7.68896,0.986781,0.849297,1,3,0,7.70342,0.377559
-7.73033,0.988659,0.849297,1,1,0,7.73726,0.393244
-7.74226,0.998894,0.849297,2,3,0,7.76486,0.397087
-7.79611,0.985004,0.849297,1,1,0,7.81495,0.412245
-8.21161,0.887727,0.849297,1,1,0,8.21578,0.486159
-9.07085,0.779427,0.849297,1,1,0,9.12432,0.576007
-9.24423,0.952067,0.849297,1,1,0,9.62029,0.590072
-7.99833,0.815079,0.849297,2,3,0,10.8798,0.453761
-7.74652,0.953168,0.849297,1,3,0,8.2994,0.27225
-7.64035,0.89043,0.849297,2,3,0,8.50411,0.342364
-7.67138,0.991754,0.849297,2,3,0,7.69595,0.368972
-8.22647,0.83132,0.849297,1,3,0,8.60223,0.199644
-8.20876,1,0.849297,1,1,0,8.33937,0.201425
-8.73224,0.912392,0.849297,1,1,0,8.75103,0.159543
-8.06119,1,0.849297,1,1,0,8.60949,0.217884
-8.16063,0.980796,0.849297,1,1,0,8.22715,0.206458
-8.84229,0.962258,0.849297,2,3,0,8.84604,0.152726
-8.60175,1,0.849297,1,1,0,8.92417,0.168338
-10.8773,0.78268,0.849297,1,3,0,10.9809,0.0774512
-9.7591,1,0.849297,1,1,0,10.8202,0.110083
-7.89662,0.860395,0.849297,2,7,0,11.1561,0.434909
-7.64122,1,0.849297,2,3,0,7.89942,0.322767
-8.04941,0.898814,0.849297,1,3,0,8.15715,0.462237
-9.16902,0.888229,0.849297,2,3,0,9.18028,0.584084
-7.72277,1,0.849297,1,3,0,8.80672,0.390683
-9.08876,0.732271,0.849297,1,3,0,9.1342,0.577503
-7.66064,1,0.849297,1,3,0,8.80988,0.362569
-8.54336,0.752656,0.849297,1,3,0,9.05204,0.172562
-8.18324,1,0.849297,2,3,0,8.51509,0.204058
-9.50622,0.915212,0.849297,2,3,0,9.50763,0.609725
-8.4544,1,0.849297,1,1,0,9.29352,0.516278
-7.83854,1,0.849297,1,1,0,8.27982,0.422478
-7.70094,1,0.849297,2,3,0,7.8024,0.382589
-7.66183,1,0.849297,1,1,0,7.69166,0.363343
-8.32625,0.807807,0.849297,1,3,0,8.72152,0.190219
-7.73862,1,0.849297,2,3,0,8.17907,0.395939
-8.36923,0.692848,0.849297,2,3,0,9.53832,0.186443
-8.9252,0.912536,0.849297,1,1,0,8.95586,0.147905
-7.773,0.927857,0.849297,2,3,0,9.87227,0.406105
-7.65466,1,0.849297,1,3,0,7.74219,0.358333
-8.12142,0.707686,0.849297,2,3,0,9.41594,0.210783
-8.50196,0.932509,0.849297,1,1,0,8.52782,0.175678
-8.50196,0.849911,0.849297,1,1,0,9.4148,0.175678
-8.21321,1,0.849297,1,1,0,8.50262,0.200975
-9.26604,0.733399,0.849297,1,3,0,10.9659,0.591777
-7.94377,1,0.849297,2,3,0,9.00618,0.233782
-7.70509,0.969528,0.849297,1,3,0,8.16356,0.384223
-8.59607,0.818881,0.849297,1,3,0,8.61999,0.531721
-8.49302,1,0.849297,1,1,0,8.79087,0.520619
-8.49302,0.85467,0.849297,1,1,0,9.03456,0.520619
-7.72763,1,0.849297,2,3,0,8.37753,0.277623
-7.645,0.999992,0.849297,1,3,0,7.71193,0.317558
-7.65655,0.997105,0.849297,1,1,0,7.65679,0.307598
-7.76233,0.96665,0.849297,1,3,0,7.84681,0.403099
-8.35315,0.886924,0.849297,1,3,0,8.35332,0.504366
-7.73069,1,0.849297,1,3,0,8.17962,0.393364
-7.65983,1,0.849297,2,3,0,7.71144,0.362031
-7.96647,0.766362,0.849297,2,3,0,9.02649,0.230452
-7.99377,0.998135,0.849297,2,3,0,8.0601,0.226624
-7.64702,1,0.849297,2,3,0,7.93277,0.351592
-7.68989,0.910654,0.849297,2,3,0,8.15448,0.29061
-8.23362,0.855175,0.849297,1,3,0,8.53742,0.489128
-7.65041,1,0.849297,2,3,0,8.23384,0.312275
-7.65109,0.996456,0.849297,2,3,0,7.6808,0.355439
-8.45852,0.824933,0.849297,1,3,0,8.52945,0.516746
-8.14972,1,0.849297,1,1,0,8.46269,0.477487
-8.01748,0.854336,0.849297,1,3,0,9.0589,0.223442
-7.89417,1,0.849297,1,1,0,8.0224,0.241613
-7.75871,1,0.849297,2,3,0,7.87015,0.26905
-7.6431,1,0.849297,2,3,0,7.73858,0.346938
-7.76399,0.964508,0.849297,1,3,0,7.82673,0.26772
-8.87852,0.73314,0.849297,1,3,0,9.54162,0.559219
-8.08243,1,0.849297,1,1,0,8.67933,0.467442
-8.23616,0.745573,0.849297,2,3,0,9.77652,0.489468
-7.73122,0.95157,0.849297,1,3,0,8.52875,0.276557
-10.2101,0.410893,0.849297,2,3,0,12.9216,0.0951183
-7.64937,0.914188,0.849297,1,3,0,10.6012,0.313179
-7.64279,0.998409,0.849297,2,3,0,7.66248,0.32034
-7.92284,0.95184,0.849297,2,3,0,8.00464,0.236988
-7.79987,0.952771,0.849297,2,3,0,8.3375,0.413202
-7.91608,0.967466,0.849297,1,1,0,7.94173,0.438763
-7.91608,0.437081,0.849297,1,3,0,10.9041,0.438763
-8.62152,0.6772,0.849297,2,7,0,9.84117,0.166951
-7.99762,1,0.849297,1,1,0,8.5034,0.226099
