# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2024-01-19 15:21:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.850000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_1.json
# init = 2 (Default)
# random
#   seed = 695854889 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-7.82509,0.989026,0.612073,3,7,0,7.96624,0.419357
-7.77497,0.893566,0.963733,3,7,0,8.67642,0.265051
-7.73814,0.974427,1.12622,1,3,0,8.02091,0.395785
-7.732,0.974043,1.69271,2,3,0,7.79017,0.393797
-7.732,0.0145603,2.53271,1,1,0,8.78266,0.393797
-7.70199,0.997824,0.20139,4,15,0,8.24754,0.383006
-7.7879,0.996724,0.328184,2,5,0,7.94298,0.410116
-8.06644,0.984886,0.529787,2,7,0,8.32047,0.217241
-8.57253,0.964704,0.82011,2,3,0,8.72163,0.170428
-7.67678,0.95063,1.18833,1,3,0,8.79975,0.371806
-7.69726,0.976424,1.64299,2,3,0,7.7343,0.287752
-7.69726,0.00010836,2.43604,1,1,0,9.09526,0.287752
-7.63868,0.999609,0.21531,3,15,0,7.8131,0.328983
-7.64019,0.999979,0.344944,3,7,0,7.64025,0.324719
-7.78705,0.993411,0.548941,2,7,0,7.83232,0.262245
-7.64041,0.98724,0.851036,1,3,0,7.96453,0.342481
-7.64858,0.991527,1.28748,2,3,0,7.67571,0.353155
-8.4631,0.514658,1.95741,1,1,0,8.60393,0.517265
-8.40038,1,0.800627,1,1,0,8.53864,0.510024
-7.70055,1,1.24187,1,3,0,8.17226,0.382434
-7.70055,0.304064,1.91244,1,1,0,8.31591,0.382434
-7.63957,0.998637,0.455497,2,7,0,7.77612,0.326162
-8.96715,0.904772,0.699636,2,5,0,9.18617,0.145559
-8.60889,0.945826,0.83382,2,5,0,10.0017,0.533057
-7.92311,1,1.10293,1,1,0,8.43088,0.440123
-7.92311,0.37815,1.67106,2,3,0,9.08138,0.440123
-9.3233,0.93392,0.509277,2,5,0,10.2129,0.127789
-8.48619,1,0.651577,3,7,0,9.32965,0.176894
-7.74974,0.99386,0.981555,2,7,0,8.3907,0.399387
-7.97177,0.905458,1.44701,1,1,0,8.01181,0.44912
-8.18547,0.910118,1.70139,2,3,0,8.26052,0.482556
-8.18547,0.343596,2.01873,1,1,0,9.19205,0.482556
-7.94061,0.961728,0.594003,2,7,0,9.18521,0.234258
-8.01495,0.992584,0.80322,1,1,0,8.02601,0.223776
-8.44243,0.973344,1.16532,2,3,0,8.4536,0.180351
-8.25603,1,1.60569,1,1,0,8.6046,0.196747
-7.64998,1,2.34736,1,1,0,7.85816,0.312644
-7.69306,0.911699,3.41369,1,1,0,7.78422,0.289357
-7.73176,0.905548,2.00556,2,3,0,7.83318,0.393718
-7.73176,7.86696e-120,22.1869,1,3,1,8.02314,0.393718
-7.73176,0.0114541,3.08319,1,1,0,8.65628,0.393718
-7.74649,0.999947,0.258481,3,7,0,7.74656,0.398398
-7.74321,1,0.289738,2,3,0,7.74667,0.397385
-7.71131,0.999768,0.37686,1,3,0,7.76074,0.386581
-7.64533,0.999812,0.535508,2,5,0,7.72494,0.34975
-7.94509,0.925732,0.803866,1,3,0,8.78179,0.233586
-7.94176,0.987987,0.988691,3,7,0,8.23799,0.443654
-7.65939,0.981088,1.50655,2,3,0,8.04982,0.305713
-7.91249,0.823289,2.27224,1,1,0,7.92029,0.438062
-8.01677,0.762434,2.09355,2,3,0,8.22448,0.456886
-7.96934,1,1.59984,1,1,0,8.12614,0.448688
-7.96934,0.0237113,2.58925,1,1,0,9.60874,0.448688
-7.96238,0.999943,0.19913,2,3,0,7.98498,0.447437
-8.0587,0.998668,0.326236,2,3,0,8.05887,0.463723
-7.66488,0.978103,0.530379,2,7,0,9.10411,0.365244
-8.04386,0.979122,0.805709,2,7,0,8.04435,0.220044
-7.85173,1,1.22165,1,1,0,8.01531,0.249052
-8.29832,0.824155,1.96125,1,1,0,8.38257,0.19276
-8.23514,1,1.85084,2,3,0,8.55723,0.489332
-8.23514,0.305902,2.94184,1,1,0,8.24051,0.489332
-8.31174,0.998476,0.606672,2,3,0,8.32165,0.499245
-8.19583,1,0.962285,1,1,0,8.34229,0.483994
-7.89539,0.947014,1.52157,2,3,0,8.5539,0.24141
-7.96974,0.784504,2.05228,2,3,0,8.218,0.448758
-7.70763,0.897878,1.73819,2,3,0,8.20157,0.385199
-8.19661,0.769042,2.03011,2,3,0,8.21937,0.202668
-7.98216,1,1.65198,2,3,0,8.21462,0.22823
-7.64807,1,2.55275,1,1,0,7.77517,0.314379
-7.64807,0.0168931,3.91627,1,1,0,7.74229,0.314379
-7.73592,0.994498,0.4131,2,7,0,8.07491,0.395073
-8.10782,0.965058,0.629374,1,3,0,8.44339,0.471316
-8.19836,0.996227,0.880268,2,3,0,8.22812,0.484344
-7.63991,0.97821,1.32995,2,3,0,8.337,0.341394
-7.74158,0.94615,1.90373,1,1,0,7.74394,0.396874
-7.74158,0.0593554,2.49218,1,1,0,8.78943,0.396874
-7.67989,0.996895,0.327214,3,11,0,8.1479,0.294862
-9.40197,0.930835,0.492535,3,9,0,11.1486,0.124305
-9.24212,1,0.622529,1,1,0,9.40724,0.131537
